status;base_name;survivor_model_id;old_model_id;old_model_name;extracted_number;marker;item_id;old_item_number;new_item_number;old_item_name;new_item_name;note
PLAN;Kablarka;162;165;Kablarka [13];13;NUMBER_SUFFIX_BRACKET_CONDITIONAL;231;13;13;Kablarka [13];Kablarka [13];Numer 13 przeniesiony z nazwy modelu (NUMBER_SUFFIX_BRACKET_CONDITIONAL)
PLAN;Kablarka;162;166;Kablarka [14];14;NUMBER_SUFFIX_BRACKET_CONDITIONAL;213;14;14;Kablarka [14];Kablarka [14];Numer 14 przeniesiony z nazwy modelu (NUMBER_SUFFIX_BRACKET_CONDITIONAL)
PLAN;Kablarka;162;167;Kablarka [15];15;NUMBER_SUFFIX_BRACKET_CONDITIONAL;365;15;15;Kablarka [15];Kablarka [15];Numer 15 przeniesiony z nazwy modelu (NUMBER_SUFFIX_BRACKET_CONDITIONAL)
PLAN;Kablarka;162;168;Kablarka [16];16;NUMBER_SUFFIX_BRACKET_CONDITIONAL;368;16;16;Kablarka [16];Kablarka [16];Numer 16 przeniesiony z nazwy modelu (NUMBER_SUFFIX_BRACKET_CONDITIONAL)
PLAN;Kablarka;162;169;Kablarka [17];17;NUMBER_SUFFIX_BRACKET_CONDITIONAL;449;17;17;Kablarka [17];Kablarka [17];Numer 17 przeniesiony z nazwy modelu (NUMBER_SUFFIX_BRACKET_CONDITIONAL)
PLAN;Kablarka;162;170;Kablarka [18];18;NUMBER_SUFFIX_BRACKET_CONDITIONAL;352;18;18;Kablarka [18];Kablarka [18];Numer 18 przeniesiony z nazwy modelu (NUMBER_SUFFIX_BRACKET_CONDITIONAL)
PLAN;Kablarka;162;171;Kablarka [19];19;NUMBER_SUFFIX_BRACKET_CONDITIONAL;218;19;19;Kablarka [19];Kablarka [19];Numer 19 przeniesiony z nazwy modelu (NUMBER_SUFFIX_BRACKET_CONDITIONAL)
PLAN;Kablarka;162;173;Kablarka [20];20;NUMBER_SUFFIX_BRACKET_CONDITIONAL;419;20;20;Kablarka [20];Kablarka [20];Numer 20 przeniesiony z nazwy modelu (NUMBER_SUFFIX_BRACKET_CONDITIONAL)
PLAN;Kablarka;162;174;Kablarka [21];21;NUMBER_SUFFIX_BRACKET_CONDITIONAL;146;21;21;Kablarka [21];Kablarka [21];Numer 21 przeniesiony z nazwy modelu (NUMBER_SUFFIX_BRACKET_CONDITIONAL)
PLAN;Kablarka;162;175;Kablarka [22];22;NUMBER_SUFFIX_BRACKET_CONDITIONAL;327;22;22;Kablarka [22];Kablarka [22];Numer 22 przeniesiony z nazwy modelu (NUMBER_SUFFIX_BRACKET_CONDITIONAL)
PLAN;Kablarka;162;176;Kablarka [23];23;NUMBER_SUFFIX_BRACKET_CONDITIONAL;472;23;23;Kablarka [23];Kablarka [23];Numer 23 przeniesiony z nazwy modelu (NUMBER_SUFFIX_BRACKET_CONDITIONAL)
PLAN;Kablarka;162;177;Kablarka [24];24;NUMBER_SUFFIX_BRACKET_CONDITIONAL;409;24;24;Kablarka [24];Kablarka [24];Numer 24 przeniesiony z nazwy modelu (NUMBER_SUFFIX_BRACKET_CONDITIONAL)
PLAN;Kablarka;162;178;Kablarka [25];25;NUMBER_SUFFIX_BRACKET_CONDITIONAL;454;25;25;Kablarka [25];Kablarka [25];Numer 25 przeniesiony z nazwy modelu (NUMBER_SUFFIX_BRACKET_CONDITIONAL)
PLAN;Kablarka;162;179;Kablarka [26];26;NUMBER_SUFFIX_BRACKET_CONDITIONAL;140;26;26;Kablarka [26];Kablarka [26];Numer 26 przeniesiony z nazwy modelu (NUMBER_SUFFIX_BRACKET_CONDITIONAL)
PLAN;Kablarka;162;180;Kablarka [27];27;NUMBER_SUFFIX_BRACKET_CONDITIONAL;414;27;27;Kablarka [27];Kablarka [27];Numer 27 przeniesiony z nazwy modelu (NUMBER_SUFFIX_BRACKET_CONDITIONAL)
PLAN;Kablarka;162;181;Kablarka [28];28;NUMBER_SUFFIX_BRACKET_CONDITIONAL;153;28;28;Kablarka [28];Kablarka [28];Numer 28 przeniesiony z nazwy modelu (NUMBER_SUFFIX_BRACKET_CONDITIONAL)
PLAN;Kablarka;162;182;Kablarka [29];29;NUMBER_SUFFIX_BRACKET_CONDITIONAL;354;29;29;Kablarka [29];Kablarka [29];Numer 29 przeniesiony z nazwy modelu (NUMBER_SUFFIX_BRACKET_CONDITIONAL)
PLAN;Mediaserwer (Vmix, Resolume);191;191;Mediaserwer (Vmix, Resolume) [1];1;NUMBER_SUFFIX_BRACKET_CONDITIONAL;130;1;1;Mediaserwer (Vmix, Resolume) [1];Mediaserwer (Vmix, Resolume) [1];Numer 1 przeniesiony z nazwy modelu (NUMBER_SUFFIX_BRACKET_CONDITIONAL)
PLAN;Mediaserwer (Vmix, Resolume);191;192;Mediaserwer (Vmix, Resolume) [2];2;NUMBER_SUFFIX_BRACKET_CONDITIONAL;181;2;2;Mediaserwer (Vmix, Resolume) [2];Mediaserwer (Vmix, Resolume) [2];Numer 2 przeniesiony z nazwy modelu (NUMBER_SUFFIX_BRACKET_CONDITIONAL)
PLAN;Mediaserwer (Vmix, Resolume);191;193;Mediaserwer (Vmix, Resolume) [3];3;NUMBER_SUFFIX_BRACKET_CONDITIONAL;208;3;3;Mediaserwer (Vmix, Resolume) [3];Mediaserwer (Vmix, Resolume) [3];Numer 3 przeniesiony z nazwy modelu (NUMBER_SUFFIX_BRACKET_CONDITIONAL)
PLAN;Mediaserwer (Vmix, Resolume);191;194;Mediaserwer (Vmix, Resolume) [4];4;NUMBER_SUFFIX_BRACKET_CONDITIONAL;36;4;4;Mediaserwer (Vmix, Resolume) [4];Mediaserwer (Vmix, Resolume) [4];Numer 4 przeniesiony z nazwy modelu (NUMBER_SUFFIX_BRACKET_CONDITIONAL)
PLAN;Mediaserwer (Vmix, Resolume);191;195;Mediaserwer (Vmix, Resolume) [5];5;NUMBER_SUFFIX_BRACKET_CONDITIONAL;75;5;5;Mediaserwer (Vmix, Resolume) [5];Mediaserwer (Vmix, Resolume) [5];Numer 5 przeniesiony z nazwy modelu (NUMBER_SUFFIX_BRACKET_CONDITIONAL)
PLAN;Mediaserwer (Vmix, Resolume);191;196;Mediaserwer (Vmix, Resolume) [6];6;NUMBER_SUFFIX_BRACKET_CONDITIONAL;57;6;6;Mediaserwer (Vmix, Resolume) [6];Mediaserwer (Vmix, Resolume) [6];Numer 6 przeniesiony z nazwy modelu (NUMBER_SUFFIX_BRACKET_CONDITIONAL)
PLAN;Mediaserwer (Vmix, Resolume);191;197;Mediaserwer (Vmix, Resolume) [7];7;NUMBER_SUFFIX_BRACKET_CONDITIONAL;135;7;7;Mediaserwer (Vmix, Resolume) [7];Mediaserwer (Vmix, Resolume) [7];Numer 7 przeniesiony z nazwy modelu (NUMBER_SUFFIX_BRACKET_CONDITIONAL)
PLAN;Mikser wizyjny Barco S3;198;198;Mikser wizyjny Barco S3 [1];1;NUMBER_SUFFIX_BRACKET_CONDITIONAL;361;1;1;Mikser wizyjny Barco S3 [1];Mikser wizyjny Barco S3 [1];Numer 1 przeniesiony z nazwy modelu (NUMBER_SUFFIX_BRACKET_CONDITIONAL)
DO_KONTROLI;Odsłuch douszny Shure PSM 300;;199;Odsłuch douszny Shure PSM 300 [1];1;NUMBER_SUFFIX_BRACKET_CONDITIONAL;;;;;;różne kategorie: 13, 8
DO_KONTROLI;Odsłuch douszny Shure PSM 300;;200;Odsłuch douszny Shure PSM 300 [2];2;NUMBER_SUFFIX_BRACKET_CONDITIONAL;;;;;;różne kategorie: 13, 8
DO_KONTROLI;Odsłuch douszny Shure PSM 300;;707;Odsłuch douszny Shure PSM 300;;NONE;;;;;;różne kategorie: 13, 8
DO_KONTROLI;Odsłuch douszny Shure PSM 300;;708;Odsłuch douszny Shure PSM 300;;NONE;;;;;;różne kategorie: 13, 8
DO_KONTROLI;Odsłuch douszny Shure PSM 300;;709;Odsłuch douszny Shure PSM 300;;NONE;;;;;;różne kategorie: 13, 8
PLAN;Projektor Panasonic PT-EW640, 5800 lum., WXGA;201;201;Projektor Panasonic PT-EW640, 5800 lum., WXGA [1];1;NUMBER_SUFFIX_BRACKET_CONDITIONAL;358;1;1;Projektor Panasonic PT-EW640, 5800 lum., WXGA [1];Projektor Panasonic PT-EW640, 5800 lum., WXGA [1];Numer 1 przeniesiony z nazwy modelu (NUMBER_SUFFIX_BRACKET_CONDITIONAL)
PLAN;Projektor Panasonic PT-EW640, 5800 lum., WXGA;201;202;Projektor Panasonic PT-EW640, 5800 lum., WXGA [2];2;NUMBER_SUFFIX_BRACKET_CONDITIONAL;68;2;2;Projektor Panasonic PT-EW640, 5800 lum., WXGA [2];Projektor Panasonic PT-EW640, 5800 lum., WXGA [2];Numer 2 przeniesiony z nazwy modelu (NUMBER_SUFFIX_BRACKET_CONDITIONAL)
PLAN;Projektor Panasonic PT-EW730, 7000 lum., WXGA;203;203;Projektor Panasonic PT-EW730, 7000 lum., WXGA [1];1;NUMBER_SUFFIX_BRACKET_CONDITIONAL;347;1;1;Projektor Panasonic PT-EW730, 7000 lum., WXGA [1];Projektor Panasonic PT-EW730, 7000 lum., WXGA [1];Numer 1 przeniesiony z nazwy modelu (NUMBER_SUFFIX_BRACKET_CONDITIONAL)
PLAN;Projektor Panasonic PT-EW730, 7000 lum., WXGA;203;204;Projektor Panasonic PT-EW730, 7000 lum., WXGA [2];2;NUMBER_SUFFIX_BRACKET_CONDITIONAL;180;2;2;Projektor Panasonic PT-EW730, 7000 lum., WXGA [2];Projektor Panasonic PT-EW730, 7000 lum., WXGA [2];Numer 2 przeniesiony z nazwy modelu (NUMBER_SUFFIX_BRACKET_CONDITIONAL)
PLAN;RACK 2x Laptop MacBook Air M1;205;205;RACK 2x Laptop MacBook Air M1 [1];1;NUMBER_SUFFIX_BRACKET_CONDITIONAL;461;1;1;RACK 2x Laptop MacBook Air M1 [1];RACK 2x Laptop MacBook Air M1 [1];Numer 1 przeniesiony z nazwy modelu (NUMBER_SUFFIX_BRACKET_CONDITIONAL)
PLAN;RACK 2x Laptop MacBook Air M1;205;206;RACK 2x Laptop MacBook Air M1 [2];2;NUMBER_SUFFIX_BRACKET_CONDITIONAL;85;2;2;RACK 2x Laptop MacBook Air M1 [2];RACK 2x Laptop MacBook Air M1 [2];Numer 2 przeniesiony z nazwy modelu (NUMBER_SUFFIX_BRACKET_CONDITIONAL)
DO_KONTROLI;Rack 2x Mikrofon bezprzewodowy Shure SLXD;;239;Rack 2x Mikrofon bezprzewodowy Shure SLXD [1];1;NUMBER_SUFFIX_BRACKET_CONDITIONAL;;;;;;różne kategorie: 49, 12, 8
DO_KONTROLI;Rack 2x Mikrofon bezprzewodowy Shure SLXD;;240;Rack 2x Mikrofon bezprzewodowy Shure SLXD [2];2;NUMBER_SUFFIX_BRACKET_CONDITIONAL;;;;;;różne kategorie: 49, 12, 8
DO_KONTROLI;Rack 2x Mikrofon bezprzewodowy Shure SLXD;;241;Rack 2x Mikrofon bezprzewodowy Shure SLXD [3];3;NUMBER_SUFFIX_BRACKET_CONDITIONAL;;;;;;różne kategorie: 49, 12, 8
DO_KONTROLI;Rack 2x Mikrofon bezprzewodowy Shure SLXD;;242;Rack 2x Mikrofon bezprzewodowy Shure SLXD [4];4;NUMBER_SUFFIX_BRACKET_CONDITIONAL;;;;;;różne kategorie: 49, 12, 8
DO_KONTROLI;Rack 2x Mikrofon bezprzewodowy Shure SLXD;;243;Rack 2x Mikrofon bezprzewodowy Shure SLXD [5];5;NUMBER_SUFFIX_BRACKET_CONDITIONAL;;;;;;różne kategorie: 49, 12, 8
DO_KONTROLI;Rack 2x Mikrofon bezprzewodowy Shure SLXD;;244;Rack 2x Mikrofon bezprzewodowy Shure SLXD [6];6;NUMBER_SUFFIX_BRACKET_CONDITIONAL;;;;;;różne kategorie: 49, 12, 8
DO_KONTROLI;Rack 2x Mikrofon bezprzewodowy Shure SLXD;;824;Rack 2x Mikrofon bezprzewodowy Shure SLXD;;NONE;;;;;;różne kategorie: 49, 12, 8
